DATE,SECTOR,KEYWORD,CNT
20250513,엔터,한한령,3
20250513,자율주행,에스오에스랩,1
20250513,화장품,코스맥스,3
20250513,화장품,실리콘투,4
20250514,6G,스타링크,3
20250514,6G,쏠리드,1
20250514,엔터,JYP,1
20250514,엔터,와이지 엔터,1
20250514,엔터,한한령,1
20250514,자율주행,라이다,1
20250514,2차 전지,2차 전지,2
20250514,화장품,실리콘투,2
20250514,화장품,K-뷰티,1
20250515,반도체,AMD,2
20250515,6G,쏠리드,2
20250515,엔터,에스엠,1
20250515,엔터,JYP,5
20250515,엔터,한한령,1
20250515,스마트팩토리,스마트팩토리,5
20250515,자율주행,에스오에스랩,1
20250515,자율주행,라이다,1
20250515,자율주행,웨이모,2
20250515,2차 전지,2차 전지,1
20250516,반도체,AMD,2
20250516,6G,스타링크,2
20250516,6G,쏠리드,3
20250516,엔터,JYP,1
20250516,자율주행,웨이모,1
20250516,화장품,아모레퍼시픽,2
20250516,화장품,코스맥스,2
20250517,엔터,JYP,1
20250519,반도체,AMD,1
20250519,6G,쏠리드,1
20250519,엔터,에스엠,1
20250519,2차 전지,2차 전지,2
20250519,화장품,아모레퍼시픽,1
20250519,화장품,실리콘투,1
20250520,반도체,TSMC,2
20250520,6G,RFHIC,1
20250520,엔터,하이브,3
20250520,엔터,와이지 엔터,1
20250520,엔터,한한령,1
20250520,스마트팩토리,스마트팩토리,4
20250520,자율주행,라이다,1
20250520,자율주행,웨이모,2
20250520,화장품,아모레퍼시픽,1
20250520,화장품,실리콘투,7
20250521,반도체,TSMC,2
20250521,반도체,AMD,4
20250521,6G,5G,1
20250521,엔터,JYP,1
20250521,자율주행,라이다,2
20250521,자율주행,웨이모,1
20250521,2차 전지,2차 전지,2
20250521,화장품,아모레퍼시픽,2
20250521,화장품,코스맥스,1
20250521,화장품,실리콘투,4
20250522,반도체,AMD,2
20250522,6G,케이엠더블유,1
20250522,6G,스타링크,1
20250522,6G,쏠리드,1
20250522,엔터,JYP,1
20250522,엔터,한한령,1
20250522,스마트팩토리,아마존,1
20250522,자율주행,라이다,1
20250522,자율주행,웨이모,1
20250522,2차 전지,2차 전지,2
20250522,화장품,코스맥스,3
20250522,화장품,K-뷰티,1
20250523,6G,스타링크,1
20250523,6G,스몰셀,1
20250523,6G,6G,1
20250523,엔터,하이브,1
20250523,엔터,에스엠,1
20250523,자율주행,에스오에스랩,1
20250523,화장품,아모레퍼시픽,1
20250523,화장품,실리콘투,2
20250524,자율주행,웨이모,1
20250525,반도체,TSMC,1
20250525,6G,스타링크,3
20250525,엔터,하이브,1
20250525,엔터,와이지 엔터,1
20250525,스마트팩토리,심보틱,1
20250525,자율주행,웨이모,1
20250525,화장품,실리콘투,1
20250526,반도체,TSMC,1
20250526,6G,스타링크,1
20250526,6G,6G,1
20250526,엔터,하이브,1
20250526,엔터,JYP,1
20250526,엔터,와이지 엔터,3
20250526,엔터,한한령,3
20250526,자율주행,에스오에스랩,1
20250526,자율주행,라이다,1
20250526,2차 전지,2차 전지,2
20250526,화장품,아모레퍼시픽,2
20250527,6G,이노와이어리스,1
20250527,6G,5G,1
20250527,엔터,하이브,4
20250527,엔터,에스엠,1
20250527,엔터,와이지 엔터,3
20250527,엔터,한한령,1
20250527,스마트팩토리,스마트팩토리,1
20250527,자율주행,라이다,2
20250527,2차 전지,2차 전지,2
20250527,화장품,코스맥스,1
20250527,화장품,실리콘투,1
20250527,화장품,K-뷰티,1
20250528,엔터,하이브,6
20250528,엔터,에스엠,11
20250528,엔터,와이지 엔터,5
20250528,엔터,한한령,1
20250528,엔터,K-POP,1
20250528,자율주행,에스오에스랩,1
20250528,2차 전지,2차 전지,2
20250529,반도체,TSMC,1
20250529,반도체,AMD,1
20250529,6G,스몰셀,1
20250529,6G,6G,1
20250529,6G,5G,1
20250529,엔터,하이브,8
20250529,엔터,에스엠,3
20250529,엔터,K-POP,1
20250529,2차 전지,2차 전지,1
20250529,화장품,아모레퍼시픽,1
20250529,화장품,K-뷰티,1
20250530,반도체,TSMC,1
20250530,반도체,AMD,1
20250530,6G,이노와이어리스,3
20250530,6G,케이엠더블유,17
20250530,6G,스타링크,8
20250530,6G,쏠리드,2
20250530,6G,RFHIC,1
20250530,6G,6G,2
20250530,엔터,하이브,3
20250530,엔터,에스엠,9
20250530,엔터,한한령,1
20250530,자율주행,라이다,2
20250530,화장품,K-뷰티,1
20250531,반도체,삼성전자,1
20250531,6G,케이엠더블유,1
20250531,자율주행,웨이모,1
20250601,반도체,TSMC,1
20250601,6G,스타링크,1
20250601,엔터,와이지 엔터,1
20250601,엔터,한한령,2
20250601,화장품,실리콘투,2
20250602,반도체,TSMC,4
20250602,반도체,엔비디아,1
20250602,반도체,AMD,1
20250602,6G,케이엠더블유,2
20250602,6G,스타링크,5
20250602,6G,RFHIC,2
20250602,6G,6G,1
20250602,엔터,하이브,2
20250602,엔터,에스엠,2
20250602,엔터,JYP,1
20250602,엔터,와이지 엔터,10
20250602,엔터,한한령,1
20250602,엔터,K-POP,1
20250602,스마트팩토리,아마존,1
20250602,자율주행,에스오에스랩,3
20250602,자율주행,웨이모,1
20250602,화장품,아모레퍼시픽,1
20250602,화장품,코스맥스,3
20250602,화장품,실리콘투,8
20250602,화장품,K-뷰티,2
20250603,반도체,TSMC,1
20250603,6G,스타링크,1
20250603,6G,6G,1
20250603,엔터,에스엠,1
20250603,자율주행,에스오에스랩,1
20250603,자율주행,웨이모,2
20250603,화장품,코스맥스,1
20250603,화장품,K-뷰티,1
20250604,반도체,AMD,3
20250604,6G,스타링크,3
20250604,6G,RFHIC,1
20250604,6G,6G,3
20250604,6G,5G,1
20250604,엔터,하이브,1
20250604,엔터,에스엠,1
20250604,엔터,한한령,1
20250604,스마트팩토리,아마존,1
20250604,2차 전지,2차 전지,2
20250604,화장품,아모레퍼시픽,1
20250605,반도체,TSMC,2
20250605,반도체,엔비디아,1
20250605,반도체,AMD,4
20250605,6G,스타링크,1
20250605,6G,RFHIC,3
20250605,6G,6G,5
20250605,엔터,하이브,1
20250605,엔터,에스엠,2
20250605,엔터,한한령,1
20250605,엔터,K-POP,1
20250605,스마트팩토리,아마존,1
20250605,스마트팩토리,스마트팩토리,1
20250605,자율주행,에스오에스랩,1
20250605,자율주행,웨이모,1
20250605,2차 전지,2차 전지,1
20250605,자율주행,자율주행,3
20250605,화장품,실리콘투,1
20250605,화장품,K-뷰티,1
20250606,6G,스타링크,1
20250606,6G,쏠리드,1
20250606,6G,RFHIC,1
20250606,6G,6G,2
20250606,엔터,하이브,1
20250606,화장품,실리콘투,1
20250607,6G,스타링크,1
20250607,6G,6G,1
20250607,엔터,하이브,2
20250607,스마트팩토리,아마존,2
20250607,자율주행,자율주행,1
20250607,화장품,아모레퍼시픽,1
20250607,화장품,K-뷰티,1
20250608,반도체,SK 하이닉스,1
20250608,6G,6G,2
20250608,엔터,하이브,1
20250608,엔터,에스엠,1
20250608,엔터,JYP,1
20250608,엔터,한한령,2
20250608,자율주행,웨이모,1
20250608,2차 전지,2차 전지,1
20250608,자율주행,자율주행,1
20250608,화장품,실리콘투,1
20250609,반도체,TSMC,6
20250609,6G,케이엠더블유,1
20250609,6G,스타링크,4
20250609,6G,RFHIC,2
20250609,6G,6G,1
20250609,엔터,하이브,4
20250609,엔터,에스엠,2
20250609,엔터,JYP,1
20250609,엔터,와이지 엔터,1
20250609,엔터,한한령,4
20250609,엔터,K-POP,1
20250609,스마트팩토리,스마트팩토리,1
20250609,자율주행,라이다,1
20250609,2차 전지,2차 전지,5
20250609,화장품,아모레퍼시픽,1
20250609,화장품,코스맥스,1
20250609,화장품,실리콘투,1
20250610,반도체,TSMC,4
20250610,반도체,AMD,1
20250610,6G,스타링크,2
20250610,6G,쏠리드,5
20250610,6G,6G,3
20250610,엔터,하이브,5
20250610,엔터,와이지 엔터,2
20250610,엔터,한한령,7
20250610,스마트팩토리,스마트팩토리,1
20250610,자율주행,라이다,1
20250610,자율주행,웨이모,8
20250610,2차 전지,2차 전지,3
20250610,화장품,아모레퍼시픽,3
20250610,화장품,코스맥스,4
20250610,화장품,실리콘투,3
20250610,화장품,K-뷰티,1
20250611,반도체,SK 하이닉스,1
20250611,반도체,TSMC,2
20250611,반도체,삼성전자,4
20250611,반도체,AMD,1
20250611,6G,스타링크,2
20250611,6G,쏠리드,1
20250611,6G,RFHIC,1
20250611,6G,5G,2
20250611,엔터,하이브,4
20250611,엔터,에스엠,1
20250611,엔터,JYP,1
20250611,엔터,와이지 엔터,1
20250611,엔터,한한령,3
20250611,스마트팩토리,스마트팩토리,4
20250611,자율주행,에스오에스랩,1
20250611,자율주행,웨이모,2
20250611,자율주행,테슬라,1
20250611,화장품,아모레퍼시픽,2
20250611,화장품,코스맥스,4
20250611,화장품,실리콘투,6
20250611,화장품,K-뷰티,1
20250612,반도체,SK 하이닉스,1
20250612,반도체,TSMC,4
20250612,반도체,엔비디아,1
20250612,반도체,삼성전자,1
20250612,반도체,AMD,1
20250612,6G,케이엠더블유,1
20250612,6G,쏠리드,1
20250612,6G,6G,1
20250612,엔터,하이브,5
20250612,엔터,한한령,1
20250612,엔터,K-POP,1
20250612,스마트팩토리,스마트팩토리,2
20250612,자율주행,테슬라,4
20250612,2차 전지,2차 전지,2
20250612,화장품,아모레퍼시픽,1
20250612,화장품,코스맥스,4
20250612,화장품,실리콘투,6
20250612,화장품,K-뷰티,1
20250613,반도체,삼성전자,2
20250613,반도체,AMD,9
20250613,엔터,하이브,2
20250613,엔터,에스엠,2
20250613,자율주행,웨이모,1
20250613,화장품,코스맥스,2
20250613,화장품,실리콘투,1
20250614,반도체,AMD,3
20250614,6G,쏠리드,1
20250614,6G,RFHIC,1
20250614,엔터,한한령,1
20250614,자율주행,테슬라,1
20250615,6G,쏠리드,2
20250615,엔터,JYP,1
20250615,엔터,한한령,1
20250615,화장품,아모레퍼시픽,1
20250616,반도체,TSMC,2
20250616,반도체,삼성전자,1
20250616,반도체,AMD,4
20250616,6G,스타링크,2
20250616,6G,쏠리드,2
20250616,6G,6G,1
20250616,엔터,에스엠,1
20250616,엔터,JYP,1
